dataset,item_id,difficulty,problem_type,track,repetition,checker_retry,status,checker_passed,ground_truth,objective_value,passed_1e_6,passed_1e_4,judgment_reason,translation_provider,translation_model,translation_usage,translation_numbers_match,api_attempts,checker_retried,failure_category,router_problem_type,extractor_provider,extractor_model,extractor_usage,wall_sec,evaluated_at,error,failure_artifact
nl4opt,nl4opt-0001,,generic_lp_milp,en,1,off,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1323, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 897, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1920, ""prompt_cache_miss_tokens"": 18, ""prompt_tokens"": 1938, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1920}, ""total_tokens"": 3261}",12.627450499974657,2026-07-10T12:23:38.246294Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,en,2,off,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1413, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 1093, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1920, ""prompt_cache_miss_tokens"": 18, ""prompt_tokens"": 1938, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1920}, ""total_tokens"": 3351}",11.385230899992166,2026-07-10T12:23:49.633099Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,en,3,off,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1006, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 655, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1920, ""prompt_cache_miss_tokens"": 18, ""prompt_tokens"": 1938, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1920}, ""total_tokens"": 2944}",8.7395220999897,2026-07-10T12:23:58.374107Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,zh,1,off,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1028, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 906, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 27, ""prompt_tokens"": 283, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 256}, ""total_tokens"": 1311}",True,1,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 867, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 553, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 0, ""prompt_cache_miss_tokens"": 1912, ""prompt_tokens"": 1912, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 0}, ""total_tokens"": 2779}",18.330519300012384,2026-07-10T12:24:16.706215Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,zh,2,off,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,deepseek,deepseek-v4-flash,"{""completion_tokens"": 908, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 783, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 27, ""prompt_tokens"": 283, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 256}, ""total_tokens"": 1191}",True,1,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 663, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 287, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 0, ""prompt_cache_miss_tokens"": 1915, ""prompt_tokens"": 1915, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 0}, ""total_tokens"": 2578}",14.796155499992892,2026-07-10T12:24:31.504281Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,zh,3,off,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1062, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 941, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 27, ""prompt_tokens"": 283, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 256}, ""total_tokens"": 1345}",True,1,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1390, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 998, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 0, ""prompt_cache_miss_tokens"": 1911, ""prompt_tokens"": 1911, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 0}, ""total_tokens"": 3301}",20.92615690000821,2026-07-10T12:24:52.431868Z,,
nl4opt,nl4opt-0002,,generic_lp_milp,en,1,off,OPTIMAL,True,"""350.0""",350.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1128, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 799, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1792, ""prompt_cache_miss_tokens"": 117, ""prompt_tokens"": 1909, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1792}, ""total_tokens"": 3037}",13.54702470000484,2026-07-10T12:25:05.980378Z,,
nl4opt,nl4opt-0002,,generic_lp_milp,en,2,off,OPTIMAL,True,"""350.0""",350.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1629, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 1257, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1792, ""prompt_cache_miss_tokens"": 117, ""prompt_tokens"": 1909, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1792}, ""total_tokens"": 3538}",15.33298899998772,2026-07-10T12:25:21.315107Z,,
nl4opt,nl4opt-0002,,generic_lp_milp,en,3,off,OPTIMAL,True,"""350.0""",350.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 953, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 577, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1792, ""prompt_cache_miss_tokens"": 117, ""prompt_tokens"": 1909, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1792}, ""total_tokens"": 2862}",8.818414200010011,2026-07-10T12:25:30.135015Z,,
nl4opt,nl4opt-0002,,production,zh,1,off,OPTIMAL,True,"""350.0""",0.0,False,False,objective_mismatch,deepseek,deepseek-v4-flash,"{""completion_tokens"": 374, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 269, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 126, ""prompt_tokens"": 254, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 628}",True,1,False,WRONG_OPT,production,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1362, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 1149, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 0, ""prompt_cache_miss_tokens"": 1377, ""prompt_tokens"": 1377, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 0}, ""total_tokens"": 2739}",21.38392720001866,2026-07-10T12:25:51.520381Z,objective_mismatch,failures/nl4opt-nl4opt-0002-zh-r1-off.json
