dataset,item_id,difficulty,problem_type,track,repetition,checker_retry,status,checker_passed,ground_truth,objective_value,passed_1e_6,passed_1e_4,judgment_reason,translation_provider,translation_model,translation_usage,translation_numbers_match,api_attempts,checker_retried,failure_category,router_problem_type,extractor_provider,extractor_model,extractor_usage,wall_sec,evaluated_at,error,failure_artifact
nl4opt,nl4opt-0001,,generic_lp_milp,en,1,on,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 882, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 471, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1920, ""prompt_cache_miss_tokens"": 18, ""prompt_tokens"": 1938, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1920}, ""total_tokens"": 2820}",12.268031999992672,2026-07-11T16:48:24.417576Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,en,2,on,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1015, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 681, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1920, ""prompt_cache_miss_tokens"": 18, ""prompt_tokens"": 1938, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1920}, ""total_tokens"": 2953}",9.994792400044389,2026-07-11T16:48:34.414000Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,en,3,on,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1089, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 784, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1920, ""prompt_cache_miss_tokens"": 18, ""prompt_tokens"": 1938, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1920}, ""total_tokens"": 3027}",10.89062689995626,2026-07-11T16:48:45.306453Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,zh,1,on,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,deepseek,deepseek-v4-flash,"{""completion_tokens"": 612, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 486, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 27, ""prompt_tokens"": 283, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 256}, ""total_tokens"": 895}",True,1,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1126, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 783, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 0, ""prompt_cache_miss_tokens"": 1916, ""prompt_tokens"": 1916, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 0}, ""total_tokens"": 3042}",19.914124900009483,2026-07-11T16:49:05.222021Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,zh,2,on,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,deepseek,deepseek-v4-flash,"{""completion_tokens"": 963, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 840, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 27, ""prompt_tokens"": 283, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 256}, ""total_tokens"": 1246}",True,1,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1409, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 1068, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 0, ""prompt_cache_miss_tokens"": 1913, ""prompt_tokens"": 1913, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 0}, ""total_tokens"": 3322}",24.03517109999666,2026-07-11T16:49:29.258636Z,,
nl4opt,nl4opt-0001,,generic_lp_milp,zh,3,on,OPTIMAL,True,"""1160.0""",1160.0,True,True,objective_match,deepseek,deepseek-v4-flash,"{""completion_tokens"": 468, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 339, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 27, ""prompt_tokens"": 283, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 256}, ""total_tokens"": 751}",True,1,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 944, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 633, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 0, ""prompt_cache_miss_tokens"": 1919, ""prompt_tokens"": 1919, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 0}, ""total_tokens"": 2863}",17.27574100001948,2026-07-11T16:49:46.535771Z,,
nl4opt,nl4opt-0002,,generic_lp_milp,en,1,on,OPTIMAL,True,"""350.0""",350.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1467, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 1152, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1792, ""prompt_cache_miss_tokens"": 117, ""prompt_tokens"": 1909, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1792}, ""total_tokens"": 3376}",16.496260099986102,2026-07-11T16:50:03.033279Z,,
nl4opt,nl4opt-0002,,generic_lp_milp,en,2,on,OPTIMAL,True,"""350.0""",350.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1267, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 897, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1792, ""prompt_cache_miss_tokens"": 117, ""prompt_tokens"": 1909, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1792}, ""total_tokens"": 3176}",13.44013449997874,2026-07-11T16:50:16.474906Z,,
nl4opt,nl4opt-0002,,generic_lp_milp,en,3,on,OPTIMAL,True,"""350.0""",350.0,True,True,objective_match,,,,,0,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1740, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 1378, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 1792, ""prompt_cache_miss_tokens"": 117, ""prompt_tokens"": 1909, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 1792}, ""total_tokens"": 3649}",21.603745899978094,2026-07-11T16:50:38.080120Z,,
nl4opt,nl4opt-0002,,generic_lp_milp,zh,1,on,OPTIMAL,True,"""350.0""",350.0,True,True,objective_match,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1138, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 1038, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 126, ""prompt_tokens"": 254, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 1392}",True,1,False,,generic_lp_milp,deepseek,deepseek-v4-flash,"{""completion_tokens"": 1301, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 920, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 0, ""prompt_cache_miss_tokens"": 1890, ""prompt_tokens"": 1890, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 0}, ""total_tokens"": 3191}",23.4657392000081,2026-07-11T16:51:01.547319Z,,
