dataset,item_id,repetition,source_text,translated_text,source_number_tokens,translated_number_tokens,numbers_match,translation_model,translation_usage,human_audit_status,human_audit_notes
nl4opt,nl4opt-0002,1,"A lab has 1000 units of medicinal ingredients to make two pills, a large pill and a small pill. A large pill requires 3 units of medicinal ingredients and 2 units of filler. A small pill requires 2 units of medicinal ingredients and 1 unit of filler. The lab has to make at least 100 large pills. However, since small pills are more popular at least 60% of the total number of pills must be small. How many of each should be made to minimize the total number of filler material needed?",一个实验室有1000单位的药用成分来制作两种药丸：大药丸和小药丸。一个大药丸需要3单位的药用成分和2单位的填充物。一个小药丸需要2单位的药用成分和1单位的填充物。实验室必须至少制作100个大药丸。然而，由于小药丸更受欢迎，总药丸数量的至少60%必须是小药丸。为了最小化所需的总填充物材料，每种药丸应该制作多少个？,"[""1000"", ""3"", ""2"", ""2"", ""1"", ""100"", ""60""]","[""1000"", ""3"", ""2"", ""2"", ""1"", ""100"", ""60""]",True,deepseek-v4-flash,"{""completion_tokens"": 374, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 269, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 126, ""prompt_tokens"": 254, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 628}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0002,2,"A lab has 1000 units of medicinal ingredients to make two pills, a large pill and a small pill. A large pill requires 3 units of medicinal ingredients and 2 units of filler. A small pill requires 2 units of medicinal ingredients and 1 unit of filler. The lab has to make at least 100 large pills. However, since small pills are more popular at least 60% of the total number of pills must be small. How many of each should be made to minimize the total number of filler material needed?",一个实验室有1000单位的药物成分来制作两种药丸：大药丸和小药丸。一个大药丸需要3单位的药物成分和2单位的填充物。一个小药丸需要2单位的药物成分和1单位的填充物。实验室必须至少制作100个大药丸。然而，由于小药丸更受欢迎，总药丸数中至少60%必须是小的。为了最小化所需的填充物总量，应分别制作多少个大药丸和小药丸？,"[""1000"", ""3"", ""2"", ""2"", ""1"", ""100"", ""60""]","[""1000"", ""3"", ""2"", ""2"", ""1"", ""100"", ""60""]",True,deepseek-v4-flash,"{""completion_tokens"": 910, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 806, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 126, ""prompt_tokens"": 254, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 1164}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0002,3,"A lab has 1000 units of medicinal ingredients to make two pills, a large pill and a small pill. A large pill requires 3 units of medicinal ingredients and 2 units of filler. A small pill requires 2 units of medicinal ingredients and 1 unit of filler. The lab has to make at least 100 large pills. However, since small pills are more popular at least 60% of the total number of pills must be small. How many of each should be made to minimize the total number of filler material needed?",一个实验室有1000单位的药用成分来制造两种药片：大药片和小药片。大药片需要3单位药用成分和2单位填充物。小药片需要2单位药用成分和1单位填充物。实验室必须制造至少100颗大药片。然而，由于小药片更受欢迎，总药片数量的至少60%必须是小的。每种的制造数量应该是多少，以最小化所需的填充物总量？,"[""1000"", ""3"", ""2"", ""2"", ""1"", ""100"", ""60""]","[""1000"", ""3"", ""2"", ""2"", ""1"", ""100"", ""60""]",True,deepseek-v4-flash,"{""completion_tokens"": 847, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 744, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 126, ""prompt_tokens"": 254, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 1101}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0003,1,"An accounting firm employs part time workers and full time workers. Full time workers work 8 hours per shift while part time workers work 4 hours per shift. In addition, full time workers are paid $300 per shift while part time workers are paid $100 per shift. Currently, the accounting firm has a project requiring 500 hours of labor. If the firm has a budget of $15000, how many of each type of worker should be scheduled to minimize the total number of workers.",一家会计公司雇佣兼职员工和全职员工。全职员工每班工作8小时，而兼职员工每班工作4小时。此外，全职员工每班支付300美元，兼职员工每班支付100美元。目前，该公司有一个需要500小时劳动的项目。如果公司有15000美元的预算，应该安排每种类型的员工各多少名，以最小化工人总数。,"[""8"", ""4"", ""300"", ""100"", ""500"", ""15000""]","[""8"", ""4"", ""300"", ""100"", ""500"", ""15000""]",True,deepseek-v4-flash,"{""completion_tokens"": 398, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 310, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 116, ""prompt_tokens"": 244, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 642}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0003,2,"An accounting firm employs part time workers and full time workers. Full time workers work 8 hours per shift while part time workers work 4 hours per shift. In addition, full time workers are paid $300 per shift while part time workers are paid $100 per shift. Currently, the accounting firm has a project requiring 500 hours of labor. If the firm has a budget of $15000, how many of each type of worker should be scheduled to minimize the total number of workers.",一家会计公司雇佣了兼职员工和全职员工。全职员工每班工作8小时，而兼职员工每班工作4小时。此外，全职员工每班工资为300美元，兼职员工每班工资为100美元。目前，该会计公司有一个项目需要500小时的劳动。如果公司预算为15000美元，应安排每种类型的员工各多少名，以最小化员工总数。,"[""8"", ""4"", ""300"", ""100"", ""500"", ""15000""]","[""8"", ""4"", ""300"", ""100"", ""500"", ""15000""]",True,deepseek-v4-flash,"{""completion_tokens"": 437, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 344, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 116, ""prompt_tokens"": 244, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 681}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0003,3,"An accounting firm employs part time workers and full time workers. Full time workers work 8 hours per shift while part time workers work 4 hours per shift. In addition, full time workers are paid $300 per shift while part time workers are paid $100 per shift. Currently, the accounting firm has a project requiring 500 hours of labor. If the firm has a budget of $15000, how many of each type of worker should be scheduled to minimize the total number of workers.",一家会计公司雇佣兼职工人和全职工人。全职工人每班工作8小时，而兼职工人每班工作4小时。此外，全职工人每班工资为300美元，兼职工人每班工资为100美元。目前，该公司有一个项目需要500小时的劳动力。如果该公司的预算为15000美元，应如何安排每种类型的工人以最小化工人总数？,"[""8"", ""4"", ""300"", ""100"", ""500"", ""15000""]","[""8"", ""4"", ""300"", ""100"", ""500"", ""15000""]",True,deepseek-v4-flash,"{""completion_tokens"": 793, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 700, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 116, ""prompt_tokens"": 244, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 1037}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0036,1,"A woman eats cashews and almonds to get her calorie and protein intake. A serving of almonds contains 200 calories and 20 grams of protein. A serving of cashews contains 300 calories and 25 grams of protein. The woman decides to eat at least twice as many servings of almonds as cashews. Furthermore, a serving of almonds contains 15 grams of fat while a serving of cashews contains 12 grams of fat. If the woman needs to consume at least 10000 calories and 800 grams of protein this week, how many servings of each should she eat to minimize her fat intake?",一名女性通过食用腰果和杏仁来获取卡路里和蛋白质。每份杏仁含有200卡路里和20克蛋白质。每份腰果含有300卡路里和25克蛋白质。该女性决定至少食用两倍于腰果的杏仁。此外，每份杏仁含有15克脂肪，每份腰果含有12克脂肪。如果她本周需要摄入至少10000卡路里和800克蛋白质，她应该各食用多少份以最小化她的脂肪摄入？,"[""200"", ""20"", ""300"", ""25"", ""15"", ""12"", ""10000"", ""800""]","[""200"", ""20"", ""300"", ""25"", ""15"", ""12"", ""10000"", ""800""]",True,deepseek-v4-flash,"{""completion_tokens"": 367, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 253, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 140, ""prompt_tokens"": 268, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 635}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0036,2,"A woman eats cashews and almonds to get her calorie and protein intake. A serving of almonds contains 200 calories and 20 grams of protein. A serving of cashews contains 300 calories and 25 grams of protein. The woman decides to eat at least twice as many servings of almonds as cashews. Furthermore, a serving of almonds contains 15 grams of fat while a serving of cashews contains 12 grams of fat. If the woman needs to consume at least 10000 calories and 800 grams of protein this week, how many servings of each should she eat to minimize her fat intake?",一位女性通过食用腰果和杏仁来摄取卡路里和蛋白质。一份杏仁含有200卡路里和20克蛋白质。一份腰果含有300卡路里和25克蛋白质。这位女性决定至少吃两倍于腰果份量的杏仁。此外，一份杏仁含有15克脂肪，而一份腰果含有12克脂肪。如果她本周需要摄入至少10000卡路里和800克蛋白质，她应该各吃多少份以最小化她的脂肪摄入？,"[""200"", ""20"", ""300"", ""25"", ""15"", ""12"", ""10000"", ""800""]","[""200"", ""20"", ""300"", ""25"", ""15"", ""12"", ""10000"", ""800""]",True,deepseek-v4-flash,"{""completion_tokens"": 935, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 823, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 12, ""prompt_tokens"": 268, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 256}, ""total_tokens"": 1203}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0036,3,"A woman eats cashews and almonds to get her calorie and protein intake. A serving of almonds contains 200 calories and 20 grams of protein. A serving of cashews contains 300 calories and 25 grams of protein. The woman decides to eat at least twice as many servings of almonds as cashews. Furthermore, a serving of almonds contains 15 grams of fat while a serving of cashews contains 12 grams of fat. If the woman needs to consume at least 10000 calories and 800 grams of protein this week, how many servings of each should she eat to minimize her fat intake?",一名女性通过食用杏仁和腰果来摄入卡路里和蛋白质。每份杏仁含有200卡路里和20克蛋白质。每份腰果含有300卡路里和25克蛋白质。该女性决定至少食用两倍于腰果的杏仁份数。此外，每份杏仁含有15克脂肪，而每份腰果含有12克脂肪。如果她本周需要摄入至少10000卡路里和800克蛋白质，那么她应该各食用多少份以最小化她的脂肪摄入量？,"[""200"", ""20"", ""300"", ""25"", ""15"", ""12"", ""10000"", ""800""]","[""200"", ""20"", ""300"", ""25"", ""15"", ""12"", ""10000"", ""800""]",True,deepseek-v4-flash,"{""completion_tokens"": 304, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 185, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 12, ""prompt_tokens"": 268, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 256}, ""total_tokens"": 572}",approved,User confirmed human review completion in Codex on 2026-07-12.
nl4opt,nl4opt-0042,1,"A small bakery has 20000 grams of batter and 14000 grams of milk to make their crepe cakes, sponge cakes, and birthday cakes. A crepe cake needs 400 grams of batter and 200 grams of milk. A sponge cake requires 500 grams of batter and 300 grams of milk. A birthday cake requires 450 grams of batter and 350 grams of milk. If the profit per crepe cake is $12, the profit per sponge cake is $10, and the profit per birthday cake is $15, how many of each should the bakery make to maximize their profit?",一家小面包店有20000克面糊和14000克牛奶，用于制作可丽饼蛋糕、海绵蛋糕和生日蛋糕。一个可丽饼蛋糕需要400克面糊和200克牛奶。一个海绵蛋糕需要500克面糊和300克牛奶。一个生日蛋糕需要450克面糊和350克牛奶。如果每个可丽饼蛋糕的利润为12美元，每个海绵蛋糕的利润为10美元，每个生日蛋糕的利润为15美元，那么面包店应该各生产多少个才能最大化利润？,"[""20000"", ""14000"", ""400"", ""200"", ""500"", ""300"", ""450"", ""350"", ""12"", ""10"", ""15""]","[""20000"", ""14000"", ""400"", ""200"", ""500"", ""300"", ""450"", ""350"", ""12"", ""10"", ""15""]",True,deepseek-v4-flash,"{""completion_tokens"": 825, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""reasoning_tokens"": 704, ""rejected_prediction_tokens"": null}, ""prompt_cache_hit_tokens"": 128, ""prompt_cache_miss_tokens"": 140, ""prompt_tokens"": 268, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": 128}, ""total_tokens"": 1093}",approved,User confirmed human review completion in Codex on 2026-07-12.
